Input Name,Input Address,Title,Rating,Reviews,Price Level,Tags
Restaurant Nora Hedehusene ApS,"Hovedgaden 506, 2640 Hedehusene",Restaurant Nora,"4,7",48,,
Poulette DK - Broens Gadekøkken,"Strandgade 95, 1401 København K",,,,,
Lanzhou Beef Noodle ApS,"Aprilvej 105, 2860 Søborg",,,,,
Nojo Entertainment ApS,"A.C. Meyers Vænge 13B, 1. th, 2450 København SV",,,,,
Veganic ApS,"Høje Taastrup, 2630 Taastrup",Veganic,"2,0",3,,
København C.B. ApS,"Torvet 4C, 3400 Hillerød",KØBENHAVN | Café & Bistro,"3,8",996,200-300 kr a persona,"Tutte, brunch, caffetteria, prezzi, pagare, , , , , "
Bakkehjørnet ApS,"Lyngbyvej 93, 2100 København Ø",,,,,
ABCopenhagen ApS,"Langelinie Allé 17, 2100 København Ø",,,,,
Kadeau ApS,"Wildersgade 10B, 1408 København K",Kadeau København,"4,7",438,Più di 1000 kr a persona,"Tutte, menù degustazione, michelin, succo, abbinamento di vini, , , , , "
"Café Mirum, MST 2018 ApS","Jernbanevej 3B, st., 2800 Kongens Lyngby",Café Mirum,"4,7",172,100-200 kr a persona,"Tutte, torte, atmosfera, ambiente naturale"
WULFF & KONSTALI Nordhavn,"Århusgade 130, st., 2150 Nordhavn",,,,,
Ningbo,"Østerbrogade 112, st., 2100 København Ø",,,,,
Moltkes Palæ by evenues ApS,"Dronningens Tværgade 2, 1302 København K",Moltke's Mansion,"4,6",240,,"Tutte, matrimonio, convegni, cena, team"
Wok xpress Aps,"Store Kongensgade 65, kl., 1264 København K",WokXpress Store Kongengade,"4,8",443,100-200 kr a persona,"Tutte, atmosfera, pad thai, service, esperienza, , , , , "
WULFF & KONSTALI Carlsbergbyen,"Constantin Hansens Gade 3, 1799 København V",Wulff & Konstali - Vesterbro,"5,0",2,,
CAFE X,"Jernbanegade 1, 3720 Aakirkeby",Cafe X - Café - Bar - Restaurant,"3,8",8,,
Den Gamle Barber,"Kirkepladsen 3A, 3700 Rønne",Den Gamle Barber,"4,9",45,1-100 kr a persona,"Tutte, panini, birra, lasagne"
Salam Grill,"Dildhaven 41, 2730 Herlev",,,,,
Drop Inn Skibby ApS,"Hovedgaden 50A, 4050 Skibby",Drop Inn,"4,3",284,100-200 kr a persona,"Tutte, pizza, service"
Zen Kitchen ApS,"Præstefælledvej 82, 2770 Kastrup",,,,,
Kartoffel ApS,"Fyrrelunden 9, 2635 Ishøj",,,,,
Zen Kitchen,"Refshalevej 167A, 1432 København K",Zen Dimsum & Bao,"5,0",,,
Dhaba indian kitchen tivoli,"Bernstorffsgade 3, 1577 København V",,,,,
Naseer Transport,"Ægirsgade 47, st. tv, 2200 København N",,,,,
Fresh4you ApS,"Øster Farimagsgade 25, st., 2100 København Ø",Fresh4you - Østerbro,"4,2",27,1-100 kr a persona,
Carmel,"Applebys Plads 13, 1411 København K",Carmel ApS,,,,
Høkeren i Brede,"I.C.Modewegs Vej 13, 2800 Kongens Lyngby",Brede Høker & Forsamlingshus,"4,2",188,,Tutte
JG 2021 ApS,"Slotsvænget 3, 3400 Hillerød",,,,,
Coco FB,"Vesterbrogade 41, 1620 København V",,,,,
Madklubben Tordenskjoldsgade ApS,"Solbjergvej 10, 2000 Frederiksberg",,,,,
Sallie's Restaurant & Snack Bar,"Roskildevej 251, 2620 Albertslund",Sallie’s,"4,4",3.763,200-300 kr a persona,"Tutte, frappè, diner, prezzi, motel, , , , , "
Cafe Olivia,"Jernbane Allé 78, 2720 Vanløse",Café Olivia,"3,6",482,100-200 kr a persona,"Tutte, prezzi, buffet, panini, waffle"
Istanbul Kebab Bar ApS,"Tagensvej 100, 2200 København N",Istanbul Kebab,"4,3",314,1-100 kr a persona,"Tutte, pane, grano duro, prezzi, cittadina, shawarma"
KARA ApS,"Ahornvej 3C, 2. tv, 2970 Hørsholm",,,,,
Tiggermunken ApS,"Strandbakkevej 1, 3220 Tisvildeleje",,,,,
Just Chicken ApS,"Heilsgade 6, 3. th, 1734 København V",,,,,
FG Fields ApS,"Kalvebod Brygge 39, 5., 1560 København V",International Federation Of Surveyors (Fig),,,,
Securi10 ApS,"Østerbrogade 226, st. 1, 2100 København Ø",Mail Boxes Etc. København,"4,6",162,,"Tutte, prezzi, imballaggio, posta, pacco, , , , , "
Boulevarden 129,"Amager Boulevard 129, st. tv, 2300 København S",Boulevarden129,"4,4",210,300-400 kr a persona,"Tutte, cucina danese, smørrebrød, birra"
Frederiksberg Kebab ApS,"Godthåbsvej 54, st. 1, 2000 Frederiksberg",,,,,
Tisvilde Vinstue,"Banevej 2, 3220 Tisvildeleje",,,,,
Nachbar,"Martin Luther Kings Vej 19, 2450 København SV",Nachbar Engholmene,"4,3",171,100-200 kr a persona,"Tutte, paste, prezzi, service, formaggi, , , , , "
Gnist,"Kongens Nytorv 16, 1050 København K",,,,,
Afshan Burger ApS,"Herlufsholmvej 26, 2720 Vanløse",,,,,
Oaxaca Group Nordhavn,"Hamborg Plads 5, 2150 Nordhavn",Hija de Sanchez Nordhavn,"3,8",317,200-300 kr a persona,"Tutte, prezzi, guacamole, tacos di pesce, salsa, , , , , "
TeaHouse,"Østergade 52, 1100 København K",,,,,
TBJ Nørrebro ApS,"Nørrebrogade 153, st. th, 2200 København N",,,,,
Meta Fermentation ApS,"Havneholmen 14F, st. th, 2450 København SV",,,,,
BMY Invest ApS,"Valhøjs Alle 108A, 1. tv, 2610 Rødovre",,,,,
Hotel Josty ApS,"Pile Alle 14A, 2000 Frederiksberg",Josty,"4,3",329,,
Zilleri ApS,"Bjergegade 11A, 3000 Helsingør",,,,,
Burger Grillen RH-NV ApS,"Rungsted Havn 38, st., 2960 Rungsted Kyst",Burger Grillen,"4,1",275,100-200 kr a persona,", , "
Reina 1453,"Roskildevej 52B, 2000 Frederiksberg",Café Reina 1453,"4,2",29,,
"Hestkøbgaard Development, Testing & Marketing","Vennemindevej 7, 3. tv, 2100 København Ø",Testhuset A/S,"4,5",13,,
Linje 6,"Østerbrogade 240, 2100 København Ø",,,,,
Pizzicato,"Gammel Kongevej 101, 1850 Frederiksberg C",Pizzicato,"4,8",383,100-200 kr a persona,", , , , , , , , , "
Skovlunde Restaurant ApS,"Lilletoften 129A, 2740 Skovlunde",,,,,
Yummy Burger ApS,"Herlufsholmvej 26, 2720 Vanløse",,,,,
Mit Lille Køkken Hotel Go,"Gemmas Alle 203, 2770 Kastrup",Copenhagen GO Hotel,"3,5",3.043,,
PowerJuice & DK-Food ApS,"Dea Trier Mørchs Vej 7, st. mf, 2300 København S",,,,,
"A Hereford Beefstouw, Skovshoved","Strandvejen 267, 2920 Charlottenlund",,,,,
Gasoline Grill Special Ops ApS,"Landemærket 5, 1., 1119 København K",,,,,
Vidar Trade ApS,"Nørrebrogade 54A, st., 2200 København N",,,,,
Bananeira ApS,"Valkendorfsgade 36, kl., 1151 København K",Bananeira,"4,4",24,300-400 kr a persona,", , , , "
LYNÆS 3390 ApS,"Lynæs Havnevej 12, 3390 Hundested",,,,,
LumLum Jagtvej,"Jagtvej 101, st. 6, 2200 København N",Lum Lum Quick! Thai Street Kitchen,"4,3",20,,", , "
Villette Cantine ApS,"Nørrebrogade 62A, 2. th, 2200 København N",,,,,
Bagsiden,"Strandgade 8A, 3770 Allinge",Strandhotellets Pizza,"4,5",53,100-200 kr a persona,
bastapizza production,"Brøddegade 31, 3760 Gudhjem",Baby Basta,"4,3",22,100-200 kr a persona,
SONG APS,"Mimersgade 105, st. th, 2200 København N",,,,,
Cafe Pho Saigon ApS,"Vesterbrogade 83, st. th, 1620 København V",,,,,
Sushi Market,"Bernstorffsgade 3, 1577 København V",Sushi Market,"4,9",14,,
Villette DK ApS,"Nørrebrogade 62A, 2. th, 2200 København N",,,,,
HuangCheng v/Qifa You,"Bellisvej 1, 3650 Ølstykke",Huang Cheng,"4,1",671,,", , "
Dhaba indian kitchen Halgodt,"Skovshoved Havn 14, 2920 Charlottenlund",Halgodt,"4,3",381,,", , , , , , , "
MAKI SUSHI HELSINGØR ApS,"Stjernegade 9C, 3000 Helsingør",,,,,
Axelbar,"Bjergegade 27A, 3000 Helsingør",Axelbar,"4,4",278,,", , , , , , , , , "
Gastronimi og Fødevarehygeinje Konsulent V/Sarah Lovise Hansen,"Sortebrødrestræde 7, 1., 3000 Helsingør",,,,,
Imi Sushi 3000 ApS,"Bjergegade 22A, 3000 Helsingør",Ebisu Sushi Helsingør,"4,6",29,,", "
H kitchen,"Jagtvej 193, kl. 2, 2100 København Ø","HKitchen, Ramen & Poke bar","4,8",17,,
RESTAURANT DEN HVIDE HEST OG GYNGEHESTEN ApS,"Dyrehavsbakken 98, 2930 Klampenborg",Hvide Hest,"3,9",1.001,,", , , , , "
Bagel Store NV ApS,"Frederiksborgvej 54, 2400 København NV",,,,,
Asian Bento ApS,"Skovbrynet 4, 4. 9, 2800 Kongens Lyngby",,,,,
Bing & Nørgaard,"Herlufsholmvej 24, 2720 Vanløse",Bing & Nørgaard Catering ApS,"4,1",21,,
Restaurant von Edel ApS,"Hovedgaden 66E, 3220 Tisvildeleje",von Edel,"4,8",22,,
Kagayaki ApS,"Vesterbrogade 15, 1620 København V",Kagayaki,,,,
Spisestedet Kabyssen,"Søhesten 51, 2635 Ishøj",Kabyssen,"4,2",922,100-200 kr a persona,", , "
Oranje Nyhavn ApS,"Viktoriagade 6, 4. th, 1655 København V",Restaurant ORANJE,"4,4",149,,", , , , , , , , , "
Dark Waiter,"Midgårdsgade 5, 2200 København N",,,,,
Spisestedet Hulen ApS,"Brandholms Alle 3D, 2. 4, 2610 Rødovre",,,,,
Oha Boltens Gård ApS,"Mårumvej 25H, 3230 Græsted",,,,,
Gastromani 2 ApS,"Ny Carlsberg Vej 80, 1799 København V",,,,,
Gastromani 2 ApS,"Ørestads Boulevard 73, 2300 København S",,,,,
Kappa Bar København,"Rådhusstræde 4, 1466 København K",Kappa Bar Copenhagen,"4,8",31,,", , , "
Another.Pizza Aps,"Østerbrogade 89, 2100 København Ø",Another Pizza,"4,6",37,,
Unkaku Sushi,"Mølcks Passage 1, 3450 Allerød",UNKAKU SUSHI,"5,0",4,,
Restaurant Poco Loco ApS,"Enghavevej 18A, 1674 København V",Restaurant Poco Loco,"4,8",26,,", "
Tierry ApS,"Studiestræde 67, st. 1, 1554 København V",,,,,
November ApS,"Vesterbrogade 178, 1800 Frederiksberg C",Vespa Bar & Cafe,"4,9",39,,
Cafe Robbedale ApS,"Søndre Alle 38D, 3700 Rønne",,,,,
Atelier September Nordhavnen,"Århusgade 128D, 2150 Nordhavn",Atelier September,"3,9",92,,", , , , , , , , , "
Jarmers ApS,"Vester Voldgade 8, st., 1552 København V",,,,,
Letz Catering ApS,"Holmbladsgade 78, 2300 København S",,,,,
The Fat Indian Valby,"Toftegårds Allé 38, st. tv, 2500 Valby",The Fat Indian - Valby,"4,2",23,,
Lillerød Sportscafé ApS,"Banevang 7, 3450 Allerød",,,,,
Strangas 3 ApS,"Gammel Kongevej 157, 3. tv, 1850 Frederiksberg C",Strangas Gyros - Frederiksberg,"4,6",29,,", "
Sushiv Ballerup,"Ballerup-Centret 2, st. 1, 2750 Ballerup",,,,,
Bellona Restaurant ApS,"Nørregade 19, 3390 Hundested",Bellona,"4,2",384,,
Madlab,"Rosenvængets Allé 7A, st., 2100 København Ø",IKIGAI,"5,0",7,,
HEDAC ApS,"Richard Mortensens Vej 81A, 2300 København S",,,,,
Ginger - indian take away ApS,"Gadelandet 4, st. 4, 2700 Brønshøj",,,,,
Pico Pizza Amager ApS,"Amagerbrogade 145, 2300 København S",Pico Pizza Amager,"5,0",7,,
Cafe Trophies,"Idræts Alle 2, 2625 Vallensbæk","Cafe Trophies, idræts alle 2","5,0",4,,
Claras,"Rødovre Centrum 1C, 1. 252, 2610 Rødovre",Restaurant Claras,"3,8",558,,
Sushi Anaba,"Mariehamngade 23, 2150 Nordhavn",Sushi Anaba,"4,9",183,,", , , , , , , , , "
Ming Zhu,"Stiholmsvej 3, 3460 Birkerød",Ming-Zhu Chinese Restaurant,"4,1",199,,", , , "
Restaurant Star,"Prøvestensvej 20, 3000 Helsingør",,,,,
Nomad Social ApS,"Blegdamsvej 6, 2200 København N",Nomad Workspace,"4,2",65,,", , , , "
HAIM ApS,"Hindegade 6, 1303 København K",,,,,
Bambi,"Flæsketorvet 15, 1711 København V",Bambi,"5,0",3,,
Kung Fu Tivoli Training,"Kalvebod Brygge 59, 1560 København V",,,,,
Himalya Indian and Nepalese Take Away,"Emtedalen 21B, 2730 Herlev",,,,,
Das Berlin Doner,"Tagensvej 77, st., 2200 København N",Das Berlin Döner - Tagensvej,"4,5",46,,
SMAG Carlsberg Byen ApS,"Kedelpladsen 2, 1799 København V",,,,,
Rkaj 2.0 ApS,"Strandpromenaden 6, 3000 Helsingør",Restaurant Kaj,"4,3",367,,", , , , , , , , , "
"Filial af Bang Bang LLC, USA","Borgergade 30, 1300 København K",,,,,
Restaurant Umai - Tisvilde,"Olskærvej 1, 3220 Tisvildeleje",Restaurant Umai,"4,6",30,,", , "
Kongemosen Smørum ApS,"Kongemosen 1, 2765 Smørum",Restaurant Kongemosen,"4,2",657,,", , , "
Restaurant Margo ApS,"Vesterbrogade 38, st., 1620 København V",MARGO,"5,0",10,,", "
Bojesen Tårnet ApS,"Sortemosevej 19, 3450 Allerød",NIRAS A/S,"4,6",88,,
PHENIX 2 ApS,"Frederikssundsvej 136, 2700 Brønshøj",Cafe Phønix,"3,7",523,,", , , , , , , , "
2i5,"Sundevedsgade 5, st. th, 1751 København V",,,,,
FOKUS 2008 ApS,"Havnegade 19, 3770 Allinge",,,,,
NICVID ApS,"Østerbrogade 150, 1. th, 2100 København Ø",,,,,
THAI LANNA ApS,"Høyrups Alle 2, 1. tv, 2900 Hellerup",Thai Lanna,"4,2",110,,", , "
ASADOR ApS,"Overgaden Neden Vandet 17, 1414 København K",Asador Restaurant,"4,4",861,,", , , , , , , , , "
Restaurant Frimands Quateer,"Gråbrødretorv 12, 1154 København K",,,,,
CPH Catering v/Per Ernst Dyhrehegn,"Strandboulevarden 109, st. th, 2100 København Ø",,,,,
Yves at Park Lane,"Strandvejen 203, st., 2900 Hellerup",Yves at Park Lane,"4,8",28,,
Don´s Deli ApS,"Pilestræde 63, st., 1112 København K",,,,,
"Julian Administration, Toldboden A/S","Refshalevej 167A, 1., 1432 København K",,,,,
Green Mango Lyngby,"Jernbanevej 10, kl., 2800 Kongens Lyngby",Green Mango Lyngby,"4,0",48,,
Wilder Komplementar A/S,"Wildersgade 56, 1408 København K",,,,,
Divina / Artistico,"Strandvejen 159A, st., 3060 Espergærde",DIVINA BLK,"4,8",2.080,,", , , , , , , , , "
Cafe Tel Aviv V/ Preben jensen,"Krystalgade 12, 1172 København K",,,,,
Renelite ApS,"Høje Taastrup, 2630 Taastrup",,,,,
Kirkebjerg Selskabslokaler V/Hanne Ejstrud Jensen,"Park Allé 282, 2605 Brøndby",,,,,
Sponsored by coffee ApS,"Vesterbrogade 108, 1620 København V",,,,,
Bybjerggaard v/Jan Frandsen,"Sundbylille, 3600 Frederikssund",Bybjerggård,"4,4",564,,
AMERICAN RESTAURANT A/S,"Havneholmen 3, 1561 København V",,,,,
VICH 6013 ApS,"Birkehaven 403, 2980 Kokkedal",,,,,
GILLELEJE SØ OG HAVBAD ApS,"Hulsøvej 15, 3250 Gilleleje",Gilleleje Badehotel,"4,2",375,,
Assiette,"Lybækgade 2, 4. tv, 2300 København S",,,,,
Valby Idrætspark Restaurationen v/Gert Godthjælpsen,"Julius Andersens Vej 1, 2450 København SV",Valby Idrætspark Restaurationen v/Gert Godthjælpsen,"3,0",,,
CPH DESIGN A/S,"Ryvangs Allé 18, 1., 2100 København Ø",,,,,
M.C. Carlo E.H. ApS,"Nyhavn 71, 1051 København K",,,,,
C. DAHL ApS,"Dyrehavsbakken 41, 2930 Klampenborg",,,,,
Pizza Hut Rødovre,"Robert Jacobsens Vej 1A, st., 2300 København S",Pizza Hut,"4,2",5,,
La Rotonda ApS,"Sankt Kjelds Plads 3, 2100 København Ø",Restaurant La Rotonda,"4,9",35,,", , "
Street Food Hillerød ApS,"Slangerupgade 6, st. mf, 3400 Hillerød",Street Food Hillerød,,,,
Lillerødhallernes Cafeteria ApS,"Banevang 7, 3450 Allerød",,,,,
Gorms Pizza Tivoli Food Hall,"Bernstorffsgade 3, 1577 København V",Gorms,"3,7",195,,", , , , , , , , , "
Magstræde 16,"Magstræde 16, 1204 København K",Gorm's in Magstræde,"4,1",869,,", , , , , , , , , "
Portofino ApS,"Frederiksborgvej 17, 3200 Helsinge",Portofino,"3,6",165,100-200 kr a persona,
Cafe Tommy,"Godthåbsvej 54, st. 1, 2000 Frederiksberg",,,,,
WY ApS (Nozomi Sushi),"Martha Christensens Vej 26, 2300 København S",Nozomi,"4,5",171,,", , , , , , , , , "
SJK Kebab ApS,"Carl Jacobsens Vej 1, 2500 Valby",,,,,
ELV Kebab ApS,"Nørrebrogade 225, st., 2200 København N",,,,,
O'SNACKS A/S,"Nørrebrogade 98, 2200 København N",,,,,
Restaurant Søllerød ApS,"Brillerne 9, 2840 Holte",,,,,
Købmagergade,"Købmagergade 58, 1150 København K",Købmagergade 58,,,,
Fælledvej,"Fælledvej 15, 2200 København N",Fælledvej 15,,,,
Shabistan Restaurant,"Kongensgade 4, 3550 Slangerup",Shabistan,"4,4",8,,
CEH ApS,"Dyrehavsbakken 41, 2930 Klampenborg",,,,,
Bakkens Grill & Bøfhus,"Dyrehavsbakken 37, 2930 Klampenborg",Bakkens grill og bøfhus,"3,1",431,,
Royal Indian Cuisine,"Øresundsvej 48, st., 2300 København S",,,,,
Real Greek ApS,"Margretheholmsvej 42, 4. th, 1432 København K",,,,,
Cafe Spiseriet,"Attemosevej 170, 2840 Holte",Spiseriet49 - Lyngby,"4,5",60,200-300 kr a persona,", "
Giin Dee,"Vesterkøb 5, 2640 Hedehusene",Giin Dee,"4,8",127,100-200 kr a persona,
FALAFEL-HOUSE ApS,"Hædersdalvej 65, 2650 Hvidovre",Shawarma House Holding ApS,"4,0",4,,
ZHONG HUA ApS,"Østergade 10, 3600 Frederikssund",Zhong Hua Aps,,,,
Gastronomia v/Giovanni Fico,"Toftebæksvej 45B, 2800 Kgs.Lyngby",,,,,
The Captain v/Önder Demirbas,"Rungsted Havn 30, 2960 Rungsted Kyst",,,,,
Ristorante Buono ApS,"Ved Rådhuset 21, 1. th, 2610 Rødovre",,,,,
GREASY SPOON ApS,"Studiestræde 16A, st., 1455 København K",,,,,
Chilli num num,"Møllehøjen 10, 3630 Jægerspris",Chilli num num,"5,0",2,,
Tumbuh Food Trade ApS,"Børge Olsens Plads 18, 2610 Rødovre",SAYANG - Indonesisk Cuisine,"4,1",12,100-200 kr a persona,
OHMYGOSH! ApS,"Fredensgade 13, 2200 København N",Oh My Gosh!,,,,
Restaurationsselskabet af 8. april 2025 ApS,"Koldinggade 26, kl., 2100 København Ø",,,,,
Solsidan ApS,"Øresundsvej 158, 2300 København S",,,,,
La Calle ApS,"Flæsketorvet 68, 1., 1711 København V",,,,,
FORPAGTERIET ApS,"Damgårdsvej 23, 3460 Birkerød",,,,,
