Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Min Forretning v/Henriette Knudsen,"Søndergade 22B, st. th, 3740 Svaneke",1029441800,Aktiv,P-enhed,01.07.2023,
NYN ApS,"Strandvejen 138A, st. mf, 2900 Hellerup",1029650272,Aktiv,P-enhed,18.09.2023,
ÅBEN Lufthavn,"Lufthavnsboulevarden 6, 2770 Kastrup",1029683758,Aktiv,P-enhed,15.11.2023,
Tipora,"Kurvestykket 10, 2840 Holte",1029502044,Aktiv,P-enhed,28.10.2023,
Hovsa Bodega,"Seminarievej 1, st., 2605 Brøndby",1029707177,Aktiv,P-enhed,01.10.2023,
Raw Power ApS,"Ægirsgade 46B, 1. th, 2200 København N",1029784163,Aktiv,P-enhed,22.10.2023,
BurgerBanditten,"Folehaven 68, st. 2, 2500 Valby",1030342174,Aktiv,P-enhed,01.05.2024,
Café Ægir ApS,"Dagmarsgade 39, st. tv, 2200 København N",1030402991,Aktiv,P-enhed,27.05.2024,
D-Palace Rhythm,"Ørnevej 33, 2400 København NV",1030549437,Aktiv,P-enhed,29.07.2024,
Nahas-Hakim ApS,"Finsensvej 37C, st., 2000 Frederiksberg",1030397319,Aktiv,P-enhed,30.05.2024,
Bak Sandwich,"Store Kongensgade 54, 1264 København K",1030408639,Aktiv,P-enhed,03.06.2024,
CHH Værtshuse ApS,"Norgesgade 54, 3. th, 2300 København S",1030188426,Aktiv,P-enhed,14.03.2024,
NTTLVT ApS,"Sallingvej 61, kl. 1, 2720 Vanløse",1030311627,Aktiv,P-enhed,19.04.2024,
City Bar ApS,"Frederiksborgvej 7, 2400 København NV",1030257703,Aktiv,P-enhed,10.04.2024,
Tanken Guldbergsgade,"Ahornsgade 24, kl. tv, 2200 København N",1030504913,Aktiv,P-enhed,01.07.2024,
Ourøgade 36B ApS,"Ourøgade 36B, 2100 København Ø",1030529479,Aktiv,P-enhed,04.07.2024,
Gordons Pub,"Ishøj Østergade 1, 1., 2635 Ishøj",1030714756,Aktiv,P-enhed,01.05.2024,
Electronic Freedom,"Saven B 2, 2. 4, 2630 Taastrup",1030568067,Aktiv,P-enhed,02.08.2024,
Å5 ApS,"Slagtehusgade 15, 1715 København V",1030668428,Aktiv,P-enhed,16.09.2024,
Mønten2024,"Lille Torv 18, 3700 Rønne",1030710793,Aktiv,P-enhed,01.10.2024,
Coffee Club CPH Lyngby,"Lyngby Hovedgade 43, 3., 2800 Kongens Lyngby",1030750590,Aktiv,P-enhed,14.10.2024,
Caféen 90,"Peblinge Dossering 4, kl. th, 2200 København N",1030855481,Aktiv,P-enhed,15.11.2024,
Allerbedst ApS,"Dybensgade 22, 4., 1071 København K",1030900088,Aktiv,P-enhed,05.12.2024,
Mascot,"Nordre Fasanvej 259, 2200 København N",1030899969,Aktiv,P-enhed,09.12.2024,
Cafe Limon ApS,"Valby Langgade 41, st., 2500 Valby",1030599515,Aktiv,P-enhed,20.08.2024,
Lilli ApS,"Valdemarsgade 49A, st. th, 1665 København V",1030862283,Aktiv,P-enhed,21.11.2024,
FoodPay ApS,"Dæmningen 46, 2610 Rødovre",1030901440,Aktiv,P-enhed,09.12.2024,
Rhino Bar ApS,"Nørregade 38, kl., 1165 København K",1016832266,Aktiv,P-enhed,03.05.2011,
Cafe X,"Jernbanegade 1, 3720 Aakirkeby",1030764729,Aktiv,P-enhed,01.10.2024,
Jazzcafeen,"Torvet 5, 3730 Nexø",1030755363,Aktiv,P-enhed,01.10.2024,
Baryl ApS,"Århusgade 78, kl. tv, 2100 København Ø",1020501932,Aktiv,P-enhed,20.06.2015,
Camilla Wistisen,"Rødovrevej 260, 2610 Rødovre",1030741281,Aktiv,P-enhed,01.09.2024,
Støvlen,"Jyllingevej 58, 2720 Vanløse",1031223632,Aktiv,P-enhed,06.04.2025,
Seb's Coffee,"Australiensvej 15, st. th, 2100 København Ø",1030806367,Aktiv,P-enhed,04.11.2024,
CASA 8 ApS,"Åboulevard 34D, 5. th, 2200 København N",1030649873,Aktiv,P-enhed,06.09.2024,
GGMagnus Aps,"Mølle Allé 7, 2. tv, 2500 Valby",1030746054,Aktiv,P-enhed,30.09.2024,
Chubbys ApS,"Idrætsvej 5, 3550 Slangerup",1030818365,Aktiv,P-enhed,04.11.2024,
Bernies ApS,"Pilestræde 63, 1112 København K",1028920047,Aktiv,P-enhed,11.01.2023,
Ro Frederiksberg ApS,"Finsensvej 37C, st., 2000 Frederiksberg",1029107641,Aktiv,P-enhed,09.03.2023,
Biscoff ApS,"Etta Camerons Vej 21, st. tv, 2450 København SV",1030679039,Aktiv,P-enhed,18.09.2024,
Miss Juice ApS,"Gammel Kongevej 85, st. 1, 1850 Frederiksberg C",1029357540,Aktiv,P-enhed,31.05.2023,
SALONEN - et levende billede,"Østerbrogade 222, st. 1, 2100 København Ø",1029003250,Aktiv,P-enhed,09.01.2023,
KOJI Bar ApS,"Vesterbrogade 164, 1800 Frederiksberg C",1029023774,Aktiv,P-enhed,13.02.2023,
Wcl 1 ApS,"Strandskolevej 253, 2660 Brøndby Strand",1029252471,Aktiv,P-enhed,24.04.2023,
Queen Co. Café,"Tagensvej 215, 3. th, 2400 København NV",1029234007,Aktiv,P-enhed,04.04.2023,
Wish cafe lounge,"Vesterbrogade 83, 1620 København V",1029289464,Aktiv,P-enhed,01.05.2023,
Hovsa Bodega,"Seminarievej 1, st., 2605 Brøndby",1027931673,Aktiv,P-enhed,01.02.2022,
Restaurant Kul ApS,"Høkerboderne 16, 1712 København V",1013103204,Aktiv,P-enhed,12.03.2007,
DGH v/Kristian Mike Jensen,"Folehaven 72, 2500 Valby",1031066820,Aktiv,P-enhed,03.02.2025,
Pingo,"Jernbanegade 12, st., 3480 Fredensborg",1030545903,Aktiv,P-enhed,14.07.2024,
JOMA,"Stefansgade 14, st. th, 2200 København N",1030390675,Aktiv,P-enhed,28.05.2024,
Cafe Columbus Hørsholm ApS,"Sdr Landevej 3, 3730 Nexø",1013399103,Aktiv,P-enhed,25.06.2007,
Lord Nilsson ved Nanna Hansen,"Islevhusvej 49, 2700 Brønshøj",1031021967,Aktiv,P-enhed,01.02.2025,
Vinstuen 29 v/Morten Bossen,"Falkoner Alle 29, 2000 Frederiksberg",1014849927,Aktiv,P-enhed,01.11.2008,
Delta Machina,"Rødkælkevej 43, 2600 Glostrup",1031034260,Aktiv,P-enhed,01.02.2025,
Konstabelmessen,"Almegårds Kaserne 1, 3700 Rønne",1008636539,Aktiv,P-enhed,01.08.2001,
Home Bar ApS,"Frimestervej 2, 2400 København NV",1024072270,Aktiv,P-enhed,24.10.2018,
Vinbodegaen Nørrebro ApS,"Jægersborggade 56, kl. tv, 2200 København N",1023771019,Aktiv,P-enhed,01.02.2018,
STRDT ApS,"Rådhusstræde 7, 1466 København K",1023927981,Aktiv,P-enhed,05.09.2018,
Holger Danske v/Tina Standhart,"Viborgvej 5, 3000 Helsingør",1024072440,Aktiv,P-enhed,25.10.2018,
Christian IV ApS,"Store Kirkestræde 3, 1073 København K",1024529270,Aktiv,P-enhed,20.03.2019,
Humlepubben,"Humlebæk Center 8, 3050 Humlebæk",1024597608,Aktiv,P-enhed,01.04.2019,
Vinbaren Ved Vandet,"Strandstien 10, 3740 Svaneke",1024654431,Aktiv,P-enhed,01.05.2019,
Mustang Hellerup ApS,"Kildegårdsvej 16A, 1. th, 2900 Hellerup",1024236958,Aktiv,P-enhed,20.12.2018,
Lucky's ApS,"Vindmøllevej 6, 2300 København S",1024816350,Aktiv,P-enhed,26.06.2019,
Holstein Bodega,"Holsteinsgade 1, 2100 København Ø",1024845407,Aktiv,P-enhed,01.07.2019,
Café BK Frem,"Julius Andersens Vej 7, 2450 København SV",1023484583,Aktiv,P-enhed,01.05.2018,
Miami Bar ApS,"Gammeltorv 16, 1457 København K",1020698965,Aktiv,P-enhed,01.09.2015,
Dagligstuen,"Torvet 8, 3720 Aakirkeby",1030761193,Aktiv,P-enhed,01.10.2024,
KALLA KALLA ApS,"Hovedgaden 58B, 3220 Tisvildeleje",1024222051,Aktiv,P-enhed,12.12.2018,
LORD NELSON ApS,"Hyskenstræde 9, 1207 København K",1011345367,Aktiv,P-enhed,26.05.2005,
Pub'n'roll,"Jagtvej 135, 2200 København N",1002966203,Aktiv,P-enhed,01.06.1991,
ANJA SELLBERG ApS,"Præstefælledvej 18, 2770 Kastrup",1012123600,Aktiv,P-enhed,13.03.2006,
THE AUSTRALIAN BAR ODENSE APS,"Skindergade 7, 1159 København K",1003727790,Aktiv,P-enhed,01.04.1996,
DEN GAMLE VINSTUE V/YVONNE ELLINOR HANSEN,"Teglstrupvej 2A, 2100 København Ø",1003487036,Aktiv,P-enhed,01.06.1995,
STEREO-BAR ApS,"Istedgade 126, st. tv, 1650 København V",1003552038,Aktiv,P-enhed,01.07.1995,
TOLDBOD BODEGA V/HELLE K MØLLER,"Esplanaden 4, 1263 København K",1001513052,Aktiv,P-enhed,01.09.1992,
Damhuskanten,"Damhusdæmningen 2B, 2720 Vanløse",1001486524,Aktiv,P-enhed,23.02.1995,
MC. KLUUD A/S,"Istedgade 126, 1650 København V",1001966636,Aktiv,P-enhed,01.03.1975,
CAFE ELLEBO V/OLE U ANDERSEN,"Sjælør Boulevard 49, 2450 København SV",1002473597,Aktiv,P-enhed,01.07.1984,
Frilandsmuseets Cafe og Selskabslokaler v/Yves Carle,"Kongevejen 100, 2800 Kongens Lyngby",1002967302,Aktiv,P-enhed,25.08.1992,
ApS SKARV - RESTAURATIONSVIRKSOMHED,"Pilestræde 45, 1112 København K",1003095520,Aktiv,P-enhed,20.05.1992,
Café Ålholm Bodega v/Per Røndbjerg-Christensen,"Roskildevej 167, 2500 Valby",1000129428,Aktiv,P-enhed,01.01.1970,
BOUZIYANE ApS,"Jagtvej 72, st. tv, 2200 København N",1014873623,Aktiv,P-enhed,11.11.2008,
Spröt ApS,"Tempelvej 6, 3740 Svaneke",1015189661,Aktiv,P-enhed,03.04.2009,
BØRGES BØRN ApS,"Lyngbyvej 42, st. th, 2100 København Ø",1015250077,Aktiv,P-enhed,29.04.2009,
KADETKÆLDEREN,"Roskildevej 28, 2000 Frederiksberg",1000485263,Aktiv,P-enhed,01.10.1988,
Gorki Café og Bar,"Mesterstien 3, st. tv, 2400 København NV",1023910590,Aktiv,P-enhed,01.03.2018,
POOL ApS,"Gothersgade 8C, st., 1123 København K",1031121430,Aktiv,P-enhed,03.03.2025,
CAFE IRGENS/EGMONT H PETERSENS KOLLEGIUM,"Nørre Allé 75, 2100 København Ø",1000351541,Aktiv,P-enhed,01.06.1986,
Center Pub v/Güner Alp,"Højengen 16, 2980 Kokkedal",1011023556,Aktiv,P-enhed,01.01.2005,
ScrollBar,"Rued Langgaards Vej 7, 2300 København S",1011069254,Aktiv,P-enhed,01.02.2005,
Pub 40 v/Susanne Lousdal,"Vesterkøb 40, 2640 Hedehusene",1003508203,Aktiv,P-enhed,01.07.1995,
CAFE 2EREN V/JENS R LUND,"Ryesgade 50, 2100 København Ø",1003599376,Aktiv,P-enhed,01.12.1995,
R-INVEST APS AF 1/4 1989 PETER GERHOLM,"Vesterbrogade 144E, st. tv, 1620 København V",1000522963,Aktiv,P-enhed,01.04.1989,
FREDHOLT RESTAURATIONSANPARTSSELSKAB,"Kornskyldvej 64, 2300 København S",1000665749,Aktiv,P-enhed,01.04.1990,
Rødder & Vinbar,"Ravnsborggade 10A, 2200 København N",1023620282,Aktiv,P-enhed,16.05.2018,
xpressen,"Århusgade 8, st. th, 2100 København Ø",1023461346,Aktiv,P-enhed,01.01.2018,
ANJATO ApS,"Symfonivej 31, 2730 Herlev",1023822780,Aktiv,P-enhed,19.07.2018,
Hafnia Bar,"Strandvejen 136, 2900 Hellerup",1019482487,Aktiv,P-enhed,01.02.2014,
KBH Invest III ApS,"Nørregade 26, 1165 København K",1019312964,Aktiv,P-enhed,15.04.2014,
LIBRA ApS,"Rantzausgade 20A, 1. tv, 2200 København N",1019424924,Aktiv,P-enhed,27.05.2014,
CC 2024 ApS,"Sortedam Dossering 55, 2100 København Ø",1018414240,Aktiv,P-enhed,10.04.2013,
HK7 ApS,"Strandlodsvej 42C, st., 2300 København S",1018452142,Aktiv,P-enhed,30.04.2013,
G.A.Y ApS,"Vestre Strandvej 32, 2650 Hvidovre",1018819011,Aktiv,P-enhed,11.10.2013,
workyourbar,"Enghavevej 56, st. tv, 1674 København V",1018649329,Aktiv,P-enhed,23.07.2013,
Almas Terrasse,"Dyrehavsbakken 85A, 2930 Klampenborg",1015052259,Aktiv,P-enhed,01.01.2009,
Café Centralhjørnet I/S,"Kattesundet 18, 1458 København K",1008785151,Aktiv,P-enhed,15.11.2001,
"FABRIKKEN, AALBORG ApS","Skindergade 7, 1159 København K",1008525923,Aktiv,P-enhed,01.12.2000,
LA BAR/ROCKCAFÉEN ApS,"Skindergade 7, 1159 København K",1009070156,Aktiv,P-enhed,01.01.2001,
PHENIX 4 ApS,"Vesterbrogade 6E, 1620 København V",1015357084,Aktiv,P-enhed,29.06.2009,
Dansk Veteranskibsklub S/S Bjørn,"Tinevej 3, 3060 Espergærde",1009524319,Aktiv,P-enhed,01.12.2002,
No 11,"Guldbergsgade 11, kl., 2200 København N",1030968553,Aktiv,P-enhed,01.01.2025,
LVE2003 ApS,"Hummeltoftevej 131, 2830 Virum",1009964017,Aktiv,P-enhed,01.07.2003,
Den Grønne Bodega,"Kongensgade 2, 3550 Slangerup",1016405295,Aktiv,P-enhed,28.10.2010,
Holger Danske v/Tina Standhart,"Stengade 68, kl., 3000 Helsingør",1016406070,Aktiv,P-enhed,29.10.2010,
PEACE OF CAKE ApS,"Roskildevej 328, 2630 Taastrup",1015959858,Aktiv,P-enhed,31.03.2010,
Munthes vinkælder engros aps,"Frederiksholms Kanal 16, 1220 København K",1016477792,Aktiv,P-enhed,01.12.2010,
OLM ApS,"Agnetevej 15, 1. tv, 2800 Kongens Lyngby",1027918618,Aktiv,P-enhed,12.01.2022,
Mimi Kitchen ApS,"Englandsvej 10, st. th, 2300 København S",1027897971,Aktiv,P-enhed,05.01.2022,
Brandt Nielsen ApS,"C.N. Petersens Vej 22, 2000 Frederiksberg",1028061478,Aktiv,P-enhed,03.03.2022,
Café Gab,"Slotsgade 55, 3400 Hillerød",1028088775,Aktiv,P-enhed,01.02.2022,
Afro Vibration,"C.F. Møllers Allé 44, 4. tv, 2300 København S",1028145477,Aktiv,P-enhed,29.03.2022,
Madam B ApS,"Stenbakken 17, 2791 Dragør",1031145712,Aktiv,P-enhed,06.03.2025,
Det Fedtede Hjørne,"A R Friis Vej 17C, 3100 Hornbæk",1028266525,Aktiv,P-enhed,03.06.2022,
vinux,"Dalgas Boulevard 2, 2000 Frederiksberg",1031058666,Aktiv,P-enhed,07.02.2025,
ÅBEN Nordhavn,"Århusgade 122, 2150 Nordhavn",1031030664,Aktiv,P-enhed,01.03.2025,
Tequila Bodega,"Brøndbyøster Torv 74, 2605 Brøndby",1031097904,Aktiv,P-enhed,01.03.2025,
Pubben,"Egedal Centret 9, 3660 Stenløse",1018877216,Aktiv,P-enhed,01.12.2013,
klør dame v/ jiaozhen shi,"Tagensvej 67, 2200 København N",1018356356,Aktiv,P-enhed,15.04.2013,
AB Bar ApS,"Gothersgade 15, kl., 1123 København K",1018086936,Aktiv,P-enhed,20.11.2012,
