Input Name,Input Address,Title,Rating,Reviews,Price Level,Tags,price_level_mapped,price_level_missing,rating_missing,reviews_missing
Lynæs Fisk Og Steakhouse ApS,"Lynæs Havnevej 12, 3390 Hundested",Lynæs Fisk & Steakhouse,3.5,475.0,,", , ",2.0,True,True,False
kURIOSUM ANNO 2020,"Stengade 48F, 3000 Helsingør",Kuriosum anno 2020,3.5,12.0,,,2.0,True,True,False
Fars Dreng Islands Brygge ApS,"Badstuestræde 18E, st., 1209 København K",,3.5,5.0,,,2.0,True,True,True
Frankies Israels Plads,"Linnésgade 14, 1361 København K",Frankies Pizza Israels Plads,3.5,180.0,,", , , , , , ",2.0,True,True,False
Pandekagehuset Æblehaven,"Hovedgade 15, 3730 Nexø",,3.5,5.0,,,2.0,True,True,True
SIMPEL,"Hamborg Plads 6, 2150 Nordhavn",Seoul Koreansk B.B.Q - Nordhavn,3.5,1.418,,", , , , , , , , , ",2.0,True,True,False
CECA FOODS FREDERIKSVÆRK ApS,"Hillerødvej 32, 3300 Frederiksværk",Ceca Foods Hørsholm ApS,3.5,5.0,,,2.0,True,True,True
Vegan Power House ApS,"Nordre Frihavnsgade 7, 2100 København Ø",Vegan Power House Aps,3.5,5.0,,,2.0,True,True,True
Ice Cream Parlour,"Gothersgade 3, 1123 København K",,3.5,5.0,,,2.0,True,True,True
Iron Wok ApS,"Nordre Frihavnsgade 63, 2100 København Ø",Iron Wok Østerbro,3.5,70.0,,", , , , , , ",2.0,True,True,False
Louis Burger 1650 ApS,"Istedgade 42B, st., 1650 København V",Louis Burger,3.5,458.0,,", , , , , , , , ",2.0,True,True,False
Høiers Iscafé,"Høiers Gaard 7, 3770 Allinge",Høiers,3.5,209.0,,", ",2.0,True,True,False
Ceca Foods - Korsør ApS,"Rungsted Strandvej 201A, 2960 Rungsted Kyst",Ceca Foods Hørsholm ApS,3.5,5.0,,,2.0,True,True,True
Christianshavns bistro & Catering,"Kalvebodvej 100, 2791 Dragør",Restauranten Dragør Golfklub,3.5,42.0,,,2.0,True,True,False
Bådehavnsgade 44D,"Bådehavnsgade 44D, 2450 København SV","Bådehavnsgade 44D, 44d",3.5,5.0,,,2.0,True,True,True
Øvre Dæk ApS,"Nyhavn 26, 1051 København K",,3.5,5.0,,,2.0,True,True,True
OLIOLI Frederiksberg,"Gammel Kongevej 169, 1850 Frederiksberg C",OLIOLI Frederiksberg - Restaurant & Take away,3.5,305.0,,", , , , , , , , ",2.0,True,True,False
Kadeau Bornholm,"Baunevej 18, 3720 Aakirkeby",Kadeau Bornholm,3.5,262.0,,", , , , , , , , ",2.0,True,True,False
Hovedvagtens Spisehuz,"Søndergade 12, 3700 Rønne",,3.5,5.0,,,2.0,True,True,True
Dar Atlas ApS,"Bagsværd Hovedgade 172, 2880 Bagsværd",Dar Atlas,3.5,109.0,,", , , , , ",2.0,True,True,False
Restaurant Katsura ApS,"Frederikssundsvej 308, 2700 Brønshøj",Katsura Sushi,3.5,313.0,,", , , ",2.0,True,True,False
Cava Food Team ApS,"Marielundvej 20, 2730 Herlev",,3.5,5.0,,,2.0,True,True,True
Det Lille Pizzahus,"Finsensvej 37A, 2000 Frederiksberg",Det lille Pizza og Kebabhus,3.5,159.0,,,2.0,True,True,False
Maui Istedgade,"Istedgade 86, 1650 København V",MAUI,3.5,110.0,,", , , , , , , , , ",2.0,True,True,False
Ærligt Nørre Voldgade ApS,"Nørre Voldgade 2, st. tv, 1358 København K",ÆRLIGT Nørre Voldgade ApS,3.5,10.0,,,2.0,True,True,False
TourBurger Boderne,"Boderne 3A, 3720 Aakirkeby",,3.5,5.0,,,2.0,True,True,True
Surapur,"Slagtehusgade 11A, 1715 København V",,3.5,5.0,,,2.0,True,True,True
Restaurant Nora Hedehusene ApS,"Hovedgaden 506, 2640 Hedehusene",Restaurant Nora,3.5,48.0,,,2.0,True,True,False
Poulette DK - Broens Gadekøkken,"Strandgade 95, 1401 København K",,3.5,5.0,,,2.0,True,True,True
Lanzhou Beef Noodle ApS,"Aprilvej 105, 2860 Søborg",,3.5,5.0,,,2.0,True,True,True
Nojo Entertainment ApS,"A.C. Meyers Vænge 13B, 1. th, 2450 København SV",,3.5,5.0,,,2.0,True,True,True
Veganic ApS,"Høje Taastrup, 2630 Taastrup",Veganic,3.5,3.0,,,2.0,True,True,False
København C.B. ApS,"Torvet 4C, 3400 Hillerød",KØBENHAVN | Café & Bistro,3.5,996.0,200-300 kr a persona,"Tutte, brunch, caffetteria, prezzi, pagare, , , , , ",2.0,False,True,False
Bakkehjørnet ApS,"Lyngbyvej 93, 2100 København Ø",,3.5,5.0,,,2.0,True,True,True
ABCopenhagen ApS,"Langelinie Allé 17, 2100 København Ø",,3.5,5.0,,,2.0,True,True,True
Kadeau ApS,"Wildersgade 10B, 1408 København K",Kadeau København,3.5,438.0,Più di 1000 kr a persona,"Tutte, menù degustazione, michelin, succo, abbinamento di vini, , , , , ",5.0,False,True,False
"Café Mirum, MST 2018 ApS","Jernbanevej 3B, st., 2800 Kongens Lyngby",Café Mirum,3.5,172.0,100-200 kr a persona,"Tutte, torte, atmosfera, ambiente naturale",1.0,False,True,False
WULFF & KONSTALI Nordhavn,"Århusgade 130, st., 2150 Nordhavn",,3.5,5.0,,,2.0,True,True,True
Ningbo,"Østerbrogade 112, st., 2100 København Ø",,3.5,5.0,,,2.0,True,True,True
Moltkes Palæ by evenues ApS,"Dronningens Tværgade 2, 1302 København K",Moltke's Mansion,3.5,240.0,,"Tutte, matrimonio, convegni, cena, team",2.0,True,True,False
Wok xpress Aps,"Store Kongensgade 65, kl., 1264 København K",WokXpress Store Kongengade,3.5,443.0,100-200 kr a persona,"Tutte, atmosfera, pad thai, service, esperienza, , , , , ",1.0,False,True,False
WULFF & KONSTALI Carlsbergbyen,"Constantin Hansens Gade 3, 1799 København V",Wulff & Konstali - Vesterbro,3.5,2.0,,,2.0,True,True,False
CAFE X,"Jernbanegade 1, 3720 Aakirkeby",Cafe X - Café - Bar - Restaurant,3.5,8.0,,,2.0,True,True,False
Den Gamle Barber,"Kirkepladsen 3A, 3700 Rønne",Den Gamle Barber,3.5,45.0,1-100 kr a persona,"Tutte, panini, birra, lasagne",1.0,False,True,False
Salam Grill,"Dildhaven 41, 2730 Herlev",,3.5,5.0,,,2.0,True,True,True
Drop Inn Skibby ApS,"Hovedgaden 50A, 4050 Skibby",Drop Inn,3.5,284.0,100-200 kr a persona,"Tutte, pizza, service",1.0,False,True,False
Zen Kitchen ApS,"Præstefælledvej 82, 2770 Kastrup",,3.5,5.0,,,2.0,True,True,True
Kartoffel ApS,"Fyrrelunden 9, 2635 Ishøj",,3.5,5.0,,,2.0,True,True,True
Zen Kitchen,"Refshalevej 167A, 1432 København K",Zen Dimsum & Bao,3.5,5.0,,,2.0,True,True,True
Dhaba indian kitchen tivoli,"Bernstorffsgade 3, 1577 København V",,3.5,5.0,,,2.0,True,True,True
Naseer Transport,"Ægirsgade 47, st. tv, 2200 København N",,3.5,5.0,,,2.0,True,True,True
Fresh4you ApS,"Øster Farimagsgade 25, st., 2100 København Ø",Fresh4you - Østerbro,3.5,27.0,1-100 kr a persona,,1.0,False,True,False
Carmel,"Applebys Plads 13, 1411 København K",Carmel ApS,3.5,5.0,,,2.0,True,True,True
Høkeren i Brede,"I.C.Modewegs Vej 13, 2800 Kongens Lyngby",Brede Høker & Forsamlingshus,3.5,188.0,,Tutte,2.0,True,True,False
JG 2021 ApS,"Slotsvænget 3, 3400 Hillerød",,3.5,5.0,,,2.0,True,True,True
Coco FB,"Vesterbrogade 41, 1620 København V",,3.5,5.0,,,2.0,True,True,True
Madklubben Tordenskjoldsgade ApS,"Solbjergvej 10, 2000 Frederiksberg",,3.5,5.0,,,2.0,True,True,True
Sallie's Restaurant & Snack Bar,"Roskildevej 251, 2620 Albertslund",Sallie’s,3.5,3.763,200-300 kr a persona,"Tutte, frappè, diner, prezzi, motel, , , , , ",2.0,False,True,False
Cafe Olivia,"Jernbane Allé 78, 2720 Vanløse",Café Olivia,3.5,482.0,100-200 kr a persona,"Tutte, prezzi, buffet, panini, waffle",1.0,False,True,False
Istanbul Kebab Bar ApS,"Tagensvej 100, 2200 København N",Istanbul Kebab,3.5,314.0,1-100 kr a persona,"Tutte, pane, grano duro, prezzi, cittadina, shawarma",1.0,False,True,False
KARA ApS,"Ahornvej 3C, 2. tv, 2970 Hørsholm",,3.5,5.0,,,2.0,True,True,True
Tiggermunken ApS,"Strandbakkevej 1, 3220 Tisvildeleje",,3.5,5.0,,,2.0,True,True,True
Just Chicken ApS,"Heilsgade 6, 3. th, 1734 København V",,3.5,5.0,,,2.0,True,True,True
FG Fields ApS,"Kalvebod Brygge 39, 5., 1560 København V",International Federation Of Surveyors (Fig),3.5,5.0,,,2.0,True,True,True
Securi10 ApS,"Østerbrogade 226, st. 1, 2100 København Ø",Mail Boxes Etc. København,3.5,162.0,,"Tutte, prezzi, imballaggio, posta, pacco, , , , , ",2.0,True,True,False
Boulevarden 129,"Amager Boulevard 129, st. tv, 2300 København S",Boulevarden129,3.5,210.0,300-400 kr a persona,"Tutte, cucina danese, smørrebrød, birra",3.0,False,True,False
Frederiksberg Kebab ApS,"Godthåbsvej 54, st. 1, 2000 Frederiksberg",,3.5,5.0,,,2.0,True,True,True
Tisvilde Vinstue,"Banevej 2, 3220 Tisvildeleje",,3.5,5.0,,,2.0,True,True,True
Nachbar,"Martin Luther Kings Vej 19, 2450 København SV",Nachbar Engholmene,3.5,171.0,100-200 kr a persona,"Tutte, paste, prezzi, service, formaggi, , , , , ",1.0,False,True,False
Gnist,"Kongens Nytorv 16, 1050 København K",,3.5,5.0,,,2.0,True,True,True
Afshan Burger ApS,"Herlufsholmvej 26, 2720 Vanløse",,3.5,5.0,,,2.0,True,True,True
Oaxaca Group Nordhavn,"Hamborg Plads 5, 2150 Nordhavn",Hija de Sanchez Nordhavn,3.5,317.0,200-300 kr a persona,"Tutte, prezzi, guacamole, tacos di pesce, salsa, , , , , ",2.0,False,True,False
TeaHouse,"Østergade 52, 1100 København K",,3.5,5.0,,,2.0,True,True,True
TBJ Nørrebro ApS,"Nørrebrogade 153, st. th, 2200 København N",,3.5,5.0,,,2.0,True,True,True
Meta Fermentation ApS,"Havneholmen 14F, st. th, 2450 København SV",,3.5,5.0,,,2.0,True,True,True
BMY Invest ApS,"Valhøjs Alle 108A, 1. tv, 2610 Rødovre",,3.5,5.0,,,2.0,True,True,True
Hotel Josty ApS,"Pile Alle 14A, 2000 Frederiksberg",Josty,3.5,329.0,,,2.0,True,True,False
Zilleri ApS,"Bjergegade 11A, 3000 Helsingør",,3.5,5.0,,,2.0,True,True,True
Burger Grillen RH-NV ApS,"Rungsted Havn 38, st., 2960 Rungsted Kyst",Burger Grillen,3.5,275.0,100-200 kr a persona,", , ",1.0,False,True,False
Reina 1453,"Roskildevej 52B, 2000 Frederiksberg",Café Reina 1453,3.5,29.0,,,2.0,True,True,False
"Hestkøbgaard Development, Testing & Marketing","Vennemindevej 7, 3. tv, 2100 København Ø",Testhuset A/S,3.5,13.0,,,2.0,True,True,False
Linje 6,"Østerbrogade 240, 2100 København Ø",,3.5,5.0,,,2.0,True,True,True
Pizzicato,"Gammel Kongevej 101, 1850 Frederiksberg C",Pizzicato,3.5,383.0,100-200 kr a persona,", , , , , , , , , ",1.0,False,True,False
Skovlunde Restaurant ApS,"Lilletoften 129A, 2740 Skovlunde",,3.5,5.0,,,2.0,True,True,True
Yummy Burger ApS,"Herlufsholmvej 26, 2720 Vanløse",,3.5,5.0,,,2.0,True,True,True
Mit Lille Køkken Hotel Go,"Gemmas Alle 203, 2770 Kastrup",Copenhagen GO Hotel,3.5,3.043,,,2.0,True,True,False
PowerJuice & DK-Food ApS,"Dea Trier Mørchs Vej 7, st. mf, 2300 København S",,3.5,5.0,,,2.0,True,True,True
"A Hereford Beefstouw, Skovshoved","Strandvejen 267, 2920 Charlottenlund",,3.5,5.0,,,2.0,True,True,True
Gasoline Grill Special Ops ApS,"Landemærket 5, 1., 1119 København K",,3.5,5.0,,,2.0,True,True,True
Vidar Trade ApS,"Nørrebrogade 54A, st., 2200 København N",,3.5,5.0,,,2.0,True,True,True
Bananeira ApS,"Valkendorfsgade 36, kl., 1151 København K",Bananeira,3.5,24.0,300-400 kr a persona,", , , , ",3.0,False,True,False
LYNÆS 3390 ApS,"Lynæs Havnevej 12, 3390 Hundested",,3.5,5.0,,,2.0,True,True,True
LumLum Jagtvej,"Jagtvej 101, st. 6, 2200 København N",Lum Lum Quick! Thai Street Kitchen,3.5,20.0,,", , ",2.0,True,True,False
Villette Cantine ApS,"Nørrebrogade 62A, 2. th, 2200 København N",,3.5,5.0,,,2.0,True,True,True
Bagsiden,"Strandgade 8A, 3770 Allinge",Strandhotellets Pizza,3.5,53.0,100-200 kr a persona,,1.0,False,True,False
bastapizza production,"Brøddegade 31, 3760 Gudhjem",Baby Basta,3.5,22.0,100-200 kr a persona,,1.0,False,True,False
SONG APS,"Mimersgade 105, st. th, 2200 København N",,3.5,5.0,,,2.0,True,True,True
Cafe Pho Saigon ApS,"Vesterbrogade 83, st. th, 1620 København V",,3.5,5.0,,,2.0,True,True,True
Sushi Market,"Bernstorffsgade 3, 1577 København V",Sushi Market,3.5,14.0,,,2.0,True,True,False
Villette DK ApS,"Nørrebrogade 62A, 2. th, 2200 København N",,3.5,5.0,,,2.0,True,True,True
HuangCheng v/Qifa You,"Bellisvej 1, 3650 Ølstykke",Huang Cheng,3.5,671.0,,", , ",2.0,True,True,False
Dhaba indian kitchen Halgodt,"Skovshoved Havn 14, 2920 Charlottenlund",Halgodt,3.5,381.0,,", , , , , , , ",2.0,True,True,False
MAKI SUSHI HELSINGØR ApS,"Stjernegade 9C, 3000 Helsingør",,3.5,5.0,,,2.0,True,True,True
Axelbar,"Bjergegade 27A, 3000 Helsingør",Axelbar,3.5,278.0,,", , , , , , , , , ",2.0,True,True,False
Gastronimi og Fødevarehygeinje Konsulent V/Sarah Lovise Hansen,"Sortebrødrestræde 7, 1., 3000 Helsingør",,3.5,5.0,,,2.0,True,True,True
Imi Sushi 3000 ApS,"Bjergegade 22A, 3000 Helsingør",Ebisu Sushi Helsingør,3.5,29.0,,", ",2.0,True,True,False
H kitchen,"Jagtvej 193, kl. 2, 2100 København Ø","HKitchen, Ramen & Poke bar",3.5,17.0,,,2.0,True,True,False
RESTAURANT DEN HVIDE HEST OG GYNGEHESTEN ApS,"Dyrehavsbakken 98, 2930 Klampenborg",Hvide Hest,3.5,1.001,,", , , , , ",2.0,True,True,False
Bagel Store NV ApS,"Frederiksborgvej 54, 2400 København NV",,3.5,5.0,,,2.0,True,True,True
Asian Bento ApS,"Skovbrynet 4, 4. 9, 2800 Kongens Lyngby",,3.5,5.0,,,2.0,True,True,True
Bing & Nørgaard,"Herlufsholmvej 24, 2720 Vanløse",Bing & Nørgaard Catering ApS,3.5,21.0,,,2.0,True,True,False
Restaurant von Edel ApS,"Hovedgaden 66E, 3220 Tisvildeleje",von Edel,3.5,22.0,,,2.0,True,True,False
Kagayaki ApS,"Vesterbrogade 15, 1620 København V",Kagayaki,3.5,5.0,,,2.0,True,True,True
Spisestedet Kabyssen,"Søhesten 51, 2635 Ishøj",Kabyssen,3.5,922.0,100-200 kr a persona,", , ",1.0,False,True,False
Oranje Nyhavn ApS,"Viktoriagade 6, 4. th, 1655 København V",Restaurant ORANJE,3.5,149.0,,", , , , , , , , , ",2.0,True,True,False
Dark Waiter,"Midgårdsgade 5, 2200 København N",,3.5,5.0,,,2.0,True,True,True
Spisestedet Hulen ApS,"Brandholms Alle 3D, 2. 4, 2610 Rødovre",,3.5,5.0,,,2.0,True,True,True
Oha Boltens Gård ApS,"Mårumvej 25H, 3230 Græsted",,3.5,5.0,,,2.0,True,True,True
Gastromani 2 ApS,"Ny Carlsberg Vej 80, 1799 København V",,3.5,5.0,,,2.0,True,True,True
Gastromani 2 ApS,"Ørestads Boulevard 73, 2300 København S",,3.5,5.0,,,2.0,True,True,True
Kappa Bar København,"Rådhusstræde 4, 1466 København K",Kappa Bar Copenhagen,3.5,31.0,,", , , ",2.0,True,True,False
Another.Pizza Aps,"Østerbrogade 89, 2100 København Ø",Another Pizza,3.5,37.0,,,2.0,True,True,False
Unkaku Sushi,"Mølcks Passage 1, 3450 Allerød",UNKAKU SUSHI,3.5,4.0,,,2.0,True,True,False
Restaurant Poco Loco ApS,"Enghavevej 18A, 1674 København V",Restaurant Poco Loco,3.5,26.0,,", ",2.0,True,True,False
Tierry ApS,"Studiestræde 67, st. 1, 1554 København V",,3.5,5.0,,,2.0,True,True,True
November ApS,"Vesterbrogade 178, 1800 Frederiksberg C",Vespa Bar & Cafe,3.5,39.0,,,2.0,True,True,False
Cafe Robbedale ApS,"Søndre Alle 38D, 3700 Rønne",,3.5,5.0,,,2.0,True,True,True
Atelier September Nordhavnen,"Århusgade 128D, 2150 Nordhavn",Atelier September,3.5,92.0,,", , , , , , , , , ",2.0,True,True,False
Jarmers ApS,"Vester Voldgade 8, st., 1552 København V",,3.5,5.0,,,2.0,True,True,True
Letz Catering ApS,"Holmbladsgade 78, 2300 København S",,3.5,5.0,,,2.0,True,True,True
The Fat Indian Valby,"Toftegårds Allé 38, st. tv, 2500 Valby",The Fat Indian - Valby,3.5,23.0,,,2.0,True,True,False
Lillerød Sportscafé ApS,"Banevang 7, 3450 Allerød",,3.5,5.0,,,2.0,True,True,True
Strangas 3 ApS,"Gammel Kongevej 157, 3. tv, 1850 Frederiksberg C",Strangas Gyros - Frederiksberg,3.5,29.0,,", ",2.0,True,True,False
Sushiv Ballerup,"Ballerup-Centret 2, st. 1, 2750 Ballerup",,3.5,5.0,,,2.0,True,True,True
Bellona Restaurant ApS,"Nørregade 19, 3390 Hundested",Bellona,3.5,384.0,,,2.0,True,True,False
Madlab,"Rosenvængets Allé 7A, st., 2100 København Ø",IKIGAI,3.5,7.0,,,2.0,True,True,False
HEDAC ApS,"Richard Mortensens Vej 81A, 2300 København S",,3.5,5.0,,,2.0,True,True,True
Ginger - indian take away ApS,"Gadelandet 4, st. 4, 2700 Brønshøj",,3.5,5.0,,,2.0,True,True,True
Pico Pizza Amager ApS,"Amagerbrogade 145, 2300 København S",Pico Pizza Amager,3.5,7.0,,,2.0,True,True,False
Cafe Trophies,"Idræts Alle 2, 2625 Vallensbæk","Cafe Trophies, idræts alle 2",3.5,4.0,,,2.0,True,True,False
Claras,"Rødovre Centrum 1C, 1. 252, 2610 Rødovre",Restaurant Claras,3.5,558.0,,,2.0,True,True,False
Sushi Anaba,"Mariehamngade 23, 2150 Nordhavn",Sushi Anaba,3.5,183.0,,", , , , , , , , , ",2.0,True,True,False
Ming Zhu,"Stiholmsvej 3, 3460 Birkerød",Ming-Zhu Chinese Restaurant,3.5,199.0,,", , , ",2.0,True,True,False
Restaurant Star,"Prøvestensvej 20, 3000 Helsingør",,3.5,5.0,,,2.0,True,True,True
Nomad Social ApS,"Blegdamsvej 6, 2200 København N",Nomad Workspace,3.5,65.0,,", , , , ",2.0,True,True,False
HAIM ApS,"Hindegade 6, 1303 København K",,3.5,5.0,,,2.0,True,True,True
Bambi,"Flæsketorvet 15, 1711 København V",Bambi,3.5,3.0,,,2.0,True,True,False
Kung Fu Tivoli Training,"Kalvebod Brygge 59, 1560 København V",,3.5,5.0,,,2.0,True,True,True
Himalya Indian and Nepalese Take Away,"Emtedalen 21B, 2730 Herlev",,3.5,5.0,,,2.0,True,True,True
Das Berlin Doner,"Tagensvej 77, st., 2200 København N",Das Berlin Döner - Tagensvej,3.5,46.0,,,2.0,True,True,False
SMAG Carlsberg Byen ApS,"Kedelpladsen 2, 1799 København V",,3.5,5.0,,,2.0,True,True,True
Rkaj 2.0 ApS,"Strandpromenaden 6, 3000 Helsingør",Restaurant Kaj,3.5,367.0,,", , , , , , , , , ",2.0,True,True,False
"Filial af Bang Bang LLC, USA","Borgergade 30, 1300 København K",,3.5,5.0,,,2.0,True,True,True
Restaurant Umai - Tisvilde,"Olskærvej 1, 3220 Tisvildeleje",Restaurant Umai,3.5,30.0,,", , ",2.0,True,True,False
Kongemosen Smørum ApS,"Kongemosen 1, 2765 Smørum",Restaurant Kongemosen,3.5,657.0,,", , , ",2.0,True,True,False
Restaurant Margo ApS,"Vesterbrogade 38, st., 1620 København V",MARGO,3.5,10.0,,", ",2.0,True,True,False
Bojesen Tårnet ApS,"Sortemosevej 19, 3450 Allerød",NIRAS A/S,3.5,88.0,,,2.0,True,True,False
