Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Pappa Hillerød,"Slotsarkaderne 225, 3400 Hillerød",1030553272,Aktiv,P-enhed,01.07.2024,
Den Grønne Shawarma,"Falkoner Alle 26A, 2000 Frederiksberg",1030619958,Aktiv,P-enhed,01.09.2024,
pappa city 2,"Cityringen 4, 2630 Taastrup",1030707466,Aktiv,P-enhed,30.09.2024,
The Moroccan Recipe,"Tomsgårdsvej 36A, 2400 København NV",1030798836,Aktiv,P-enhed,01.11.2024,
The Döner City ApS,"Gothersgade 11, 1123 København K",1030843912,Aktiv,P-enhed,14.11.2024,
Del Nonno Valby,"Valby Langgade 124, 2500 Valby",1030887235,Aktiv,P-enhed,04.12.2024,
Skinkekutteren,"Tårnby Torv 9, 2770 Kastrup",1030902277,Aktiv,P-enhed,09.12.2024,
Copenhagen 786 ApS,"Rådvadsvej 130, st. th, 2400 København NV",1030910628,Aktiv,P-enhed,11.12.2024,
Gosht ApS,"Østerbrogade 149, 2100 København Ø",1030733769,Aktiv,P-enhed,08.10.2024,
Lille Kroketteria ApS,"Vesterbrogade 65, st. th, 1620 København V",1030847934,Aktiv,P-enhed,15.11.2024,
Del Nonno Vanløse,"Ålekistevej 61, 2720 Vanløse",1030887332,Aktiv,P-enhed,04.12.2024,
FISH & CRISP ApS,"Landlystvej 59A, 1. tv, 2650 Hvidovre",1030891666,Aktiv,P-enhed,01.12.2024,
sankt hans kiosk,"Sankt Hans Gade 10, st., 2200 København N",1030780651,Aktiv,P-enhed,26.10.2024,
Familiens Ishus I/S,"Hvidovre Torv 4, st. tv, 2650 Hvidovre",1030813797,Aktiv,P-enhed,06.11.2024,
Wokrice v/ fuat karademir,"Ærøvej 2, 2000 Frederiksberg",1030931528,Aktiv,P-enhed,11.11.2024,
Mia s Crepes ApS,"Ny Kronborgvej 2, 3000 Helsingør",1030944115,Aktiv,P-enhed,14.11.2024,
Vestamager Pizza,"Ugandavej 111, 2770 Kastrup",1030942554,Aktiv,P-enhed,01.01.2025,
The bagel store Toftegårdsplads ApS,"Toftegårds Allé 45, 2500 Valby",1031063414,Aktiv,P-enhed,01.01.2025,
Ruten Kebab House,"Ruten 16A, 2700 Brønshøj",1007319823,Aktiv,P-enhed,01.01.2000,
Banana Joe v/Chihab Boukthir,"Elmegade 18, kl. tv, 2200 København N",1008295111,Aktiv,P-enhed,01.04.2001,
Crazy Softice ApS,"Hvidovrevej 282, 2650 Hvidovre",1030655873,Aktiv,P-enhed,06.09.2024,
Big M Express Pizza Taastrup ApS,"Taastrup Hovedgade 104, 2630 Taastrup",1030806650,Aktiv,P-enhed,04.11.2024,
Cuchianni I/S,"Theklavej 36, 1. 55, 2400 København NV",1030585034,Aktiv,P-enhed,01.08.2024,
Pizza 2770,"Kongelundsvej 448, 2770 Kastrup",1030653188,Aktiv,P-enhed,10.09.2024,
Gilleleje Is- & Vinbar,"Havnevej 13, 3250 Gilleleje",1029173083,Aktiv,P-enhed,01.04.2023,
Foodtruck Ambassaden,"Vandtårnsvej 75, 2860 Søborg",1029270496,Aktiv,P-enhed,02.05.2023,
Daisys Køkken,"Gammel Køge Landevej 176, 2500 Valby",1029163657,Aktiv,P-enhed,16.03.2023,
Enghave Plads ApS,"Enghave Plads 12, st. th, 1670 København V",1029226683,Aktiv,P-enhed,16.04.2023,
Iskagebureauet,"Bavnestien 3, 2850 Nærum",1029264070,Aktiv,P-enhed,27.04.2023,
Malte Lynge Rasmussen,"Gammel Strand 36, 3., 1202 København K",1029355149,Aktiv,P-enhed,16.05.2023,
Apezzeria I/S,"Otto Busses Vej 16, 2450 København SV",1029368852,Aktiv,P-enhed,06.06.2023,
Venue 61,"Sallingvej 61, kl., 2720 Vanløse",1029087411,Aktiv,P-enhed,01.03.2023,
Ishuset Rungsted Havn,"Rungsted Havn 12, 2960 Rungsted Kyst",1029228074,Aktiv,P-enhed,15.04.2023,
Cosmo&Joy,"Søndre Jernbanevej 3A, 3400 Hillerød",1029326963,Aktiv,P-enhed,01.05.2023,
Sekskanten pølsebar,"Vestgrønningen 4, 2791 Dragør",1029328974,Aktiv,P-enhed,01.12.2022,
AS,"Richard Mortensens Vej 80, 6. mf, 2300 København S",1029096917,Aktiv,P-enhed,23.02.2023,
Global Flyt,"Gammel Køge Landevej 55, 4., 2500 Valby",1028955088,Aktiv,P-enhed,19.01.2023,
Once Twice I/S,"Tingvej 63, 1. th, 2300 København S",1029260571,Aktiv,P-enhed,15.05.2023,
lager(is production),"Reberbanegade 3, st. 2, 2300 København S",1029333366,Aktiv,P-enhed,01.05.2023,
Maristabubble3730 ApS,"Snogebæk, 3730 Nexø",1029150202,Aktiv,P-enhed,21.03.2023,
Ann Thaimad v/Phiangjai Ann Knudsen,"Aarsballevej 25, 3700 Rønne",1018548999,Aktiv,P-enhed,10.06.2013,
Domino's Pizza,"Amagerbrogade 28, 2300 København S",1030971694,Aktiv,P-enhed,01.02.2025,
Den Røde Vogn,"Bogensegade 4, 2. th, 2100 København Ø",1031004493,Aktiv,P-enhed,01.02.2025,
Gabbiano ApS,"Niverødvej 4, 2990 Nivå",1019907461,Aktiv,P-enhed,15.11.2014,
Curryaway,"Ørnebjergvej 1, 3650 Ølstykke",1019925591,Aktiv,P-enhed,01.11.2014,
Goga Butt Takeaway v/Nisar Ahmed,"Folehaven 8, st. th, 2500 Valby",1018303880,Aktiv,P-enhed,01.03.2013,
Tinas Pølser ApS,"Jydekrogen 1, 2625 Vallensbæk",1018773607,Aktiv,P-enhed,24.09.2013,
Lynge Grill og Smørrebrød v/Charlotte Wermundsen,"Stensøvej 1, 3540 Lynge",1017543802,Aktiv,P-enhed,12.03.2012,
J&K1 ApS,"Ålsgårde Stationsvej 1A, 1., 3140 Ålsgårde",1031243048,Aktiv,P-enhed,08.04.2025,
Vietthai v/Lai Thi Nga,"Frederiksborgvej 81, 2400 København NV",1015413413,Aktiv,P-enhed,01.07.2009,
Pandekagehuset,"Lyngby Storcenter 1, 2800 Kgs. Lyngby",1021763248,Aktiv,P-enhed,15.08.2016,
Social Foodies Lyngby,"Lyngby Hovedgade 19C, 2800 Kgs. Lyngby",1022319708,Aktiv,P-enhed,27.03.2017,
Mevlana ApS,"Taastrup Hovedgade 79, 2630 Taastrup",1022273074,Aktiv,P-enhed,15.03.2017,
RAVELLO PIZZA APS,"Arnold Nielsens Boulevard 2, st. 2, 2650 Hvidovre",1021930322,Aktiv,P-enhed,16.11.2016,
2450 eren,"Borgbjergsvej 50, 2450 København SV",1021967110,Aktiv,P-enhed,01.12.2016,
Grill Huset ApS,"Industribuen 11, 2635 Ishøj",1022239526,Aktiv,P-enhed,03.03.2017,
PIZZERIA KANALEN ApS,"Dronningensgade 46, st. tv, 1420 København K",1021964960,Aktiv,P-enhed,28.11.2016,
HHstrandbar aps,"Langelinie Allé 17, 2100 København Ø",1025691470,Aktiv,P-enhed,19.03.2020,
Mommo Pizzeria,"Gerlev, 3630 Jægerspris",1022088269,Aktiv,P-enhed,12.01.2017,
Kulmosen & Co v/Mogens Jensen,"Pilegade 13, 3770 Allinge",1013670079,Aktiv,P-enhed,01.10.2007,
Del Nonno Pizzeria,"Tåsingegade 51, 2100 København Ø",1030597601,Aktiv,P-enhed,21.08.2024,
FAMOUS MO:MO HOUSE,"Frederikssundsvej 227, 2. 302, 2700 Brønshøj",1030627632,Aktiv,P-enhed,01.09.2024,
Øst Kebaben,"Fredskovhellet 1A, 3400 Hillerød",1030759199,Aktiv,P-enhed,17.10.2024,
Il Terrazzo Heatherhill,"Rågelejevej 102, 3210 Vejby",1021265523,Aktiv,P-enhed,18.03.2016,
Siam Thai Take Away,"Valby Langgade 39, 2500 Valby",1030638308,Aktiv,P-enhed,01.09.2024,
Pizza da asporto,"Prinsessegade 61, st. tv, 1422 København K",1030654222,Aktiv,P-enhed,01.09.2024,
Osman Shawarma,"H.C. Ørsteds Vej 43C, 1879 Frederiksberg C",1030755967,Aktiv,P-enhed,15.10.2024,
PIZZERIA LA FIORITA V/ANTONIO RATTA,"Charlotte Ammundsens Plads 2, 1359 København K",1000847164,Aktiv,P-enhed,15.04.1991,
Sjælør Kebab,"Carl Jacobsens Vej 65, 2500 Valby",1016479256,Aktiv,P-enhed,01.12.2010,
Salumeria v/Qenan Sallai,"Godthåbsvej 49, 2000 Frederiksberg",1016059648,Aktiv,P-enhed,01.07.2010,
TUTTO BELLO ITALIANO v/A.Y. Jacob,"Borups Alle 124, 2000 Frederiksberg",1016117338,Aktiv,P-enhed,01.07.2010,
P&S Trading ApS,"Langelinie Allé 17, 2100 København Ø",1029616708,Aktiv,P-enhed,06.09.2023,
BIG BENS PIZZA,"Tomsgårdsvej 4, 2400 København NV",1024446871,Aktiv,P-enhed,01.01.2019,
Nord Vest Pizza,"Frederiksborgvej 96, 2400 København NV",1024446634,Aktiv,P-enhed,01.01.2019,
soul search,"Helgesvej 4, 3., 2000 Frederiksberg",1024489767,Aktiv,P-enhed,18.03.2019,
The Bagel Co A/S,"Tuborg Boulevard 5, 2., 2900 Hellerup",1024816997,Aktiv,P-enhed,01.06.2019,
Crepes Brøens,"Strandgade 95, 1401 København K",1024828170,Aktiv,P-enhed,30.06.2019,
Grano & Luppolo ApS,"Vasevej 78, 3460 Birkerød",1024590573,Aktiv,P-enhed,05.04.2019,
Døner Kebab,"Holmensvej 2A, 3600 Frederikssund",1023743104,Aktiv,P-enhed,01.08.2018,
Cavallino Pizzeria/v Muzaffer Yasar,"Peter Bangs Vej 60, 2000 Frederiksberg",1023820338,Aktiv,P-enhed,24.07.2018,
Curry Nation 2000,"Godthåbsvej 142, 2000 Frederiksberg",1024034646,Aktiv,P-enhed,01.09.2018,
Samanci ApS,"Hvilebækvænge 54, 3520 Farum",1024052350,Aktiv,P-enhed,12.10.2018,
ND Invest ApS,"Hvidovrevej 340C, 2650 Hvidovre",1023748203,Aktiv,P-enhed,28.06.2018,
Foodtruck,"Niels Hemmingsens Gade 20A, 1153 København K",1023886231,Aktiv,P-enhed,01.03.2018,
Chili Pizza & Grill ApS,"Valbygårdsvej 1, 3. th, 2500 Valby",1024249626,Aktiv,P-enhed,14.12.2018,
GOKCEN APS,"Amagerfælledvej 113, 4. tv, 2300 København S",1024287048,Aktiv,P-enhed,01.01.2019,
Ellada Gyros,"Søborg Hovedgade 32, 2870 Dyssegård",1028299717,Aktiv,P-enhed,01.06.2022,
Hvidovre Shawarma Grill,"Hvidovrevej 340C, 2650 Hvidovre",1024756080,Aktiv,P-enhed,31.05.2019,
Indian S. ApS,"Nordre Fasanvej 239, kl. tv, 2200 København N",1024788365,Aktiv,P-enhed,06.06.2019,
Sydhavnens Grill,"Munch Petersens Vej 17, 3700 Rønne",1025044459,Aktiv,P-enhed,01.07.2019,
The Bagel Co,"Jernbanepladsen 47, 2800 Kgs. Lyngby",1021409436,Aktiv,P-enhed,11.05.2016,
Original Shawarma ApS,"Vesterbrogade 3, 1620 København V",1021306823,Aktiv,P-enhed,01.01.2016,
Molisa Pizza & Grill,"Frederikssundsvej 119E, 2700 Brønshøj",1027005043,Aktiv,P-enhed,09.04.2021,
Burger and steak sandwich,"Tingvej 24, 3. th, 2300 København S",1027042402,Aktiv,P-enhed,20.05.2021,
My Kusina,"Amager Landevej 134, 2770 Kastrup",1028430120,Aktiv,P-enhed,25.08.2022,
Garbanzo Nørrebrogade,"Nørrebrogade 30, 2200 København N",1028581099,Aktiv,P-enhed,04.11.2022,
Madpakkeriet ApS,"Åsebro 4E, 3300 Frederiksværk",1028594484,Aktiv,P-enhed,20.09.2022,
Friyay ApS,"Frederiksberg Alle 41B, st. 5, 1820 Frederiksberg C",1028653650,Aktiv,P-enhed,11.10.2022,
BRZ ApS,"Lundtoftevej 197, 2800 Kongens Lyngby",1028662749,Aktiv,P-enhed,13.10.2022,
Kay's Kitchen ApS,"Strandbovej 112, 2650 Hvidovre",1028565999,Aktiv,P-enhed,09.09.2022,
Brooklyn ApS,"Hedemarksvej 1, 2620 Albertslund",1027435390,Aktiv,P-enhed,10.08.2021,
The Company of Secilmis,"Ørestads Boulevard 21, 2300 København S",1027526841,Aktiv,P-enhed,10.09.2021,
Napoli1962 ApS,"Dragstrup, 3250 Gilleleje",1027447399,Aktiv,P-enhed,16.08.2021,
Min Køkken,"Østerbrogade 91, st. 4, 2100 København Ø",1027640369,Aktiv,P-enhed,15.10.2021,
Den Gyldne Kylling,"Gildbrovej 64, 1. tv, 2635 Ishøj",1027510864,Aktiv,P-enhed,23.08.2021,
Alanya By Night,"Frederikssundsvej 40, st. th, 2400 København NV",1028827098,Aktiv,P-enhed,01.12.2022,
Daal,"Vennemindevej 38, 2100 København Ø",1028890806,Aktiv,P-enhed,04.01.2023,
Massimo Pizzaria v/Fadilj Saljihu,"Amager Boulevard 134, st., 2300 København S",1028929656,Aktiv,P-enhed,01.04.2022,
Alanya By Night,"Frederikssundsvej 40, st. tv, 2400 København NV",1028807291,Aktiv,P-enhed,01.12.2022,
Bryggen 11,"Islands Brygge 11, st. th, 2300 København S",1028890792,Aktiv,P-enhed,01.01.2023,
N'amok,"Funkiavej 28, 2300 København S",1028992609,Aktiv,P-enhed,02.02.2023,
Medina Burger,"Roskildevej 148, 2500 Valby",1029044445,Aktiv,P-enhed,01.03.2023,
Cornhagen,"Peter Bangs Vej 132, 2. th, 2000 Frederiksberg",1029214170,Aktiv,P-enhed,15.05.2023,
Lissa's Lille Snack,"Hovedgade 3E, 3730 Nexø",1029240953,Aktiv,P-enhed,01.05.2023,
Kaffebaren,"Ny Kronborgvej 2, 3000 Helsingør",1029076029,Aktiv,P-enhed,31.03.2023,
Emiliana Pizzaria,"Vodroffsvej 19, st. tv, 1900 Frederiksberg C",1029094345,Aktiv,P-enhed,06.03.2023,
Candyfloss automat,"Arne Jacobsens Allé 20, 2300 København S",1029466609,Aktiv,P-enhed,09.07.2023,
Lux Döner,"Holmbladsgade 27, 2300 København S",1029452209,Aktiv,P-enhed,01.07.2023,
LLV/viktor rasmussen,"Bagsværdvej 71A, 1. tv, 2800 Kongens Lyngby",1029542240,Aktiv,P-enhed,11.08.2023,
Beef and Burgers ApS,"Christianshusvej 165, 2970 Hørsholm",1031012186,Aktiv,P-enhed,22.01.2025,
Transilvania Food and Service ApS,"Guldblommevej 17, st. th, 2770 Kastrup",1027793025,Aktiv,P-enhed,07.12.2021,
Soft,"Stolemagerstien 4, 3. mf, 2300 København S",1027823080,Aktiv,P-enhed,17.12.2021,
Garbanzo Østerbro,"Nordre Frihavnsgade 4, st. 5, 2100 København Ø",1027851378,Aktiv,P-enhed,28.01.2022,
carlos pizza,"Rolighedsvej 14, 1958 Frederiksberg C",1027893992,Aktiv,P-enhed,15.09.2021,
Venezia Pasta House,"Amagerbrogade 78, 2300 København S",1027788269,Aktiv,P-enhed,07.12.2021,
Sushi Daily - Hillerød,"Slotsarkaderne 26, 3400 Hillerød",1027947219,Aktiv,P-enhed,28.01.2022,
Cafe 2770 ApS,"Amager Landevej 167, 2770 Kastrup",1027831474,Aktiv,P-enhed,10.12.2021,
Hansens Iscafe Zoo,"Roskildevej 30, 2000 Frederiksberg",1027157129,Aktiv,P-enhed,14.06.2021,
Hubb Nordvest,"Bisiddervej 14, 2400 København NV",1027295157,Aktiv,P-enhed,01.06.2021,
CityService ApS,"Frederikssundsvej 128F, 1. th, 2700 Brønshøj",1027211174,Aktiv,P-enhed,31.05.2021,
Corner Kebab ApS,"Vibekevej 2, 3400 Hillerød",1028096778,Aktiv,P-enhed,17.03.2022,
Nittiya thai take away,"Jagtvej 39, 2200 København N",1020870962,Aktiv,P-enhed,01.12.2015,
Mevlana,"Jagtvej 119, st., 2200 København N",1021322985,Aktiv,P-enhed,11.04.2016,
Madkassen Avedøre A/S,"Kanalholmen 2A, 2650 Hvidovre",1022232157,Aktiv,P-enhed,14.02.2017,
ISTID,"Jægersborggade 13, 2200 København N",1022158682,Aktiv,P-enhed,27.01.2017,
Asilhan ApS,"Kvædehaven 42, 2600 Glostrup",1020689966,Aktiv,P-enhed,31.08.2015,
Mad og kærlighed,"Amager Landevej 98A, 2770 Kastrup",1022957313,Aktiv,P-enhed,25.10.2017,
Metro Kebab,"Ørestads Boulevard 21, 2300 København S",1019777770,Aktiv,P-enhed,06.10.2014,
ISTANBUL kebab og hotdog,"Gadehavegårdsvej 6, 2630 Taastrup",1019750163,Aktiv,P-enhed,25.09.2014,
Taco Elpaso,"Strandvejen 108, 2900 Hellerup",1022720542,Aktiv,P-enhed,01.08.2017,
VIRUM GASTRONOMIA ITALIANA APS,"Frederiksdalsvej 137, 2830 Virum",1022778974,Aktiv,P-enhed,15.08.2017,
Milano Pizza Folehaven ApS,"Frugthaven 14, 2500 Valby",1023366114,Aktiv,P-enhed,19.02.2018,
Pizza Italiana,"Strandvejen 189, st., 2900 Hellerup",1004562334,Aktiv,P-enhed,01.07.1998,
Marias Mad & Desserter ApS,"Krogshøjvej 2G, 2. tv, 2880 Bagsværd",1029278233,Aktiv,P-enhed,03.05.2023,
Kroghs Pølsevogn,"Møllevænget 5C, 2970 Hørsholm",1029293631,Aktiv,P-enhed,08.05.2023,
Oho Thai Food,"Blegdamsvej 70, 2100 København Ø",1029321953,Aktiv,P-enhed,01.06.2023,
Global Move ApS,"Wattvej 18, 4. tv, 2605 Brøndby",1029386419,Aktiv,P-enhed,08.06.2023,
n'ICE,"Linde Alle 5, 3120 Dronningmølle",1029336012,Aktiv,P-enhed,01.04.2023,
Everyday Food Service ApS,"Kirke Værløse, 3500 Værløse",1026744993,Aktiv,P-enhed,26.01.2021,
City Kebab Ishøj,"Vejlebrovej 27, 2635 Ishøj",1026796721,Aktiv,P-enhed,01.02.2021,
Pop-Corn,"Dyrehavsbakken 44B, 2930 Klampenborg",1026889649,Aktiv,P-enhed,15.03.2021,
Sharwarma & Pizzahus v/Haci,"Frederiksborgvej 4, st. tv, 2400 København NV",1026542452,Aktiv,P-enhed,30.11.2020,
Griser Det ApS,"Nordre Borrelyngvej 1B, 3770 Allinge",1026592166,Aktiv,P-enhed,15.12.2020,
Uludag Kebab,"Viktoriagade 20, 2. 2, 1655 København V",1031221095,Aktiv,P-enhed,04.04.2025,
Neapel,"Esromgade 24, st. tv, 2200 København N",1027345979,Aktiv,P-enhed,01.08.2020,
Lefalaf ApS,"Bispebjerg Bakke 18N, st. tv, 2400 København NV",1027401313,Aktiv,P-enhed,28.07.2021,
Danskamart ApS,"Gammel Køge Landevej 538, 2650 Hvidovre",1027426391,Aktiv,P-enhed,06.08.2021,
Pølsevognen Vestamager,"Ugandavej 111, 2770 Kastrup",1027503892,Aktiv,P-enhed,01.09.2021,
Paradis Is Amager Centret,"Reberbanegade 3, st., 2300 København S",1026153944,Aktiv,P-enhed,05.08.2020,
Wild N Wok,"Amager landevej 44A, 2770 Kastrup",1029521170,Aktiv,P-enhed,01.08.2023,
Restaurant Darbari,"Søborg Hovedgade 89, 2860 Søborg",1022244708,Aktiv,P-enhed,01.03.2017,
Kebab Special,"Stengade 10A, 3000 Helsingør",1031070771,Aktiv,P-enhed,01.01.2025,
Ergin ApS,"Hvidovrevej 90, 2610 Rødovre",1029416245,Aktiv,P-enhed,22.06.2023,
ARMANDOS SERVICE ApS,"Brogårdsvej 25, 2820 Gentofte",1017956988,Aktiv,P-enhed,26.09.2012,
Fabio Pasta ApS,"Vesterbrogade 102, st. tv, 1620 København V",1031071050,Aktiv,P-enhed,11.02.2025,
Grann'is Rødovre Aps,"Damhustorvet 1, st. tv, 2610 Rødovre",1020487247,Aktiv,P-enhed,10.06.2015,
Smørhullet,"Holmbladsgade 5, 2300 København S",1020300627,Aktiv,P-enhed,09.04.2015,
Oscars Cantina,"Islevbrovej 23, 2610 Rødovre",1029899815,Aktiv,P-enhed,14.12.2023,
Thai Taanic,"Vedbæk Stationsvej 14, 2950 Vedbæk",1028916309,Aktiv,P-enhed,01.12.2022,
Husum Slik v/Serhat Avci,"Islevhusvej 35, 2700 Brønshøj",1026363736,Aktiv,P-enhed,14.10.2020,
Gantzels Service,"Breeltelund 20D, 2970 Hørsholm",1028950345,Aktiv,P-enhed,01.02.2023,
H.O.T. Delivery,"Rådmand Steins Alle 21, 3. th, 2000 Frederiksberg",1028970052,Aktiv,P-enhed,27.01.2023,
Dyrisk - vegansk is,"Bispebjerg Parkallé 22B, 2400 København NV",1028987567,Aktiv,P-enhed,01.02.2023,
Mustis Pizza,"Gadehavegårdsvej 7A, 2630 Taastrup",1029016514,Aktiv,P-enhed,17.02.2023,
Reverse film / Peter Thaysen,"Rentemestervej 51R, 1. tv, 2400 København NV",1028997732,Aktiv,P-enhed,03.02.2023,
Poke Yo EBS,"Snellemark 41, 3700 Rønne",1031099958,Aktiv,P-enhed,01.03.2025,
Kongevejens skolen,"Kongsvænget 10, 2830 Virum",1028688977,Aktiv,P-enhed,01.07.2022,
Tibberup skolen,"Idrætsvej 19, 3060 Espergærde",1028688969,Aktiv,P-enhed,01.07.2022,
POWER GRILL V/THI HUONG BUI,"Englandsvej 35, 2300 København S",1001349024,Aktiv,P-enhed,01.05.1994,
Flyvergrillen v/Jannie Eilsø,"Amager Landevej 290, 2770 Kastrup",1001408568,Aktiv,P-enhed,23.08.1994,
creps station,"Odensegade 6, 2. tv, 2100 København Ø",1028848079,Aktiv,P-enhed,15.12.2022,
Darling Is,"Farverland 5, 2600 Glostrup",1028421806,Aktiv,P-enhed,14.07.2022,
Fatboy Burger,"Vesterbrogade 97, 1. tv, 1620 København V",1028297358,Aktiv,P-enhed,23.05.2022,
Pops Pizza Ishøj,"Ishøj Østergade 43, 1., 2635 Ishøj",1028819788,Aktiv,P-enhed,16.12.2022,
LI`S GRILLBAR V/SHU JIE LI,"Hans Knudsens Plads 8, 2100 København Ø",1001056429,Aktiv,P-enhed,01.07.1992,
"SSP DK AFD. 13, Gold Lounge","Lufthavnsboulevarden 14, 1., 2770 Kastrup",1028541011,Aktiv,P-enhed,30.08.2022,
Sondag hos Hallgren,"Pasteursvej 12, 3. 3, 1799 København V",1028501621,Aktiv,P-enhed,22.08.2022,
